Year,Series,Product,Value
2021,"Average tariff applied by developed countries, most-favored nation status",Total,2.14
2021,"Average tariff applied by developed countries, preferential status",Total,0.93
2021,"Average tariff applied by developed countries, most-favored nation status",Textiles,7.1
2021,"Average tariff applied by developed countries, preferential status",Textiles,4.78
2021,"Average tariff applied by developed countries, most-favored nation status",Oil,0.0
2021,"Average tariff applied by developed countries, preferential status",Oil,0.0
2021,"Average tariff applied by developed countries, most-favored nation status",Industrial products,1.66
2021,"Average tariff applied by developed countries, preferential status",Industrial products,0.65
2021,"Average tariff applied by developed countries, most-favored nation status",Clothing,10.9
2021,"Average tariff applied by developed countries, preferential status",Clothing,5.11
2021,"Average tariff applied by developed countries, most-favored nation status",Arms,3.09
2021,"Average tariff applied by developed countries, preferential status",Arms,1.51
2021,"Average tariff applied by developed countries, most-favored nation status",Agricultural products,6.28
2021,"Average tariff applied by developed countries, preferential status",Agricultural products,3.03
2022,"Average tariff applied by developed countries, most-favored nation status",Total,2.14
2022,"Average tariff applied by developed countries, preferential status",Total,0.94
2022,"Average tariff applied by developed countries, most-favored nation status",Textiles,7.1
2022,"Average tariff applied by developed countries, preferential status",Textiles,4.59
2022,"Average tariff applied by developed countries, most-favored nation status",Oil,0.0
2022,"Average tariff applied by developed countries, preferential status",Oil,0.0
2022,"Average tariff applied by developed countries, most-favored nation status",Industrial products,1.67
2022,"Average tariff applied by developed countries, preferential status",Industrial products,0.67
2022,"Average tariff applied by developed countries, most-favored nation status",Clothing,10.9
2022,"Average tariff applied by developed countries, preferential status",Clothing,5.11
2022,"Average tariff applied by developed countries, most-favored nation status",Arms,3.09
2022,"Average tariff applied by developed countries, preferential status",Arms,1.51
2022,"Average tariff applied by developed countries, most-favored nation status",Agricultural products,6.39
2022,"Average tariff applied by developed countries, preferential status",Agricultural products,2.87
2023,"Average tariff applied by developed countries, most-favored nation status",Total,2.13
2023,"Average tariff applied by developed countries, preferential status",Total,0.93
2023,"Average tariff applied by developed countries, most-favored nation status",Textiles,7.1
2023,"Average tariff applied by developed countries, preferential status",Textiles,4.49
2023,"Average tariff applied by developed countries, most-favored nation status",Oil,0.0
2023,"Average tariff applied by developed countries, preferential status",Oil,0.0
2023,"Average tariff applied by developed countries, most-favored nation status",Industrial products,1.67
2023,"Average tariff applied by developed countries, preferential status",Industrial products,0.67
2023,"Average tariff applied by developed countries, most-favored nation status",Clothing,10.9
2023,"Average tariff applied by developed countries, preferential status",Clothing,5.11
2023,"Average tariff applied by developed countries, most-favored nation status",Arms,3.09
2023,"Average tariff applied by developed countries, preferential status",Arms,1.51
2023,"Average tariff applied by developed countries, most-favored nation status",Agricultural products,6.34
2023,"Average tariff applied by developed countries, preferential status",Agricultural products,2.71
2024,"Average tariff applied by developed countries, most-favored nation status",Total,2.1
2024,"Average tariff applied by developed countries, preferential status",Total,0.93
2024,"Average tariff applied by developed countries, most-favored nation status",Textiles,7.06
2024,"Average tariff applied by developed countries, preferential status",Textiles,4.4
2024,"Average tariff applied by developed countries, most-favored nation status",Oil,0.0
2024,"Average tariff applied by developed countries, preferential status",Oil,0.0
2024,"Average tariff applied by developed countries, most-favored nation status",Industrial products,1.64
2024,"Average tariff applied by developed countries, preferential status",Industrial products,0.66
2024,"Average tariff applied by developed countries, most-favored nation status",Clothing,10.79
2024,"Average tariff applied by developed countries, preferential status",Clothing,5.11
2024,"Average tariff applied by developed countries, most-favored nation status",Arms,3.07
2024,"Average tariff applied by developed countries, preferential status",Arms,1.51
2024,"Average tariff applied by developed countries, most-favored nation status",Agricultural products,6.43
2024,"Average tariff applied by developed countries, preferential status",Agricultural products,2.65
